ans1,ans21,ans22,ans23,ans24,id
NA,NA,NA,NA,NA,1
0,0,0,0,0,2
0,0,0,0,0,3
0,0,0,0,0,4
0,0,0,0,0,5
NA,NA,NA,NA,NA,6
NA,NA,NA,NA,NA,7
NA,NA,NA,NA,NA,8
0,0,0,0,0,9
0,0,0,0,0,10
0,0,0,0,0,11
1,0,0,0,0,12
0,1,0,0,0,13
0,1,0,0,0,14
1,0,0,0,0,15
0,1,0,0,0,16
0,1,0,0,0,17
0,1,0,0,0,18
0,1,0,0,0,19
0,1,0,0,0,20
1,1,0,0,0,21
0,1,1,0,0,22
1,0,1,0,1,23
0,1,1,0,1,24
0,1,1,0,1,25
1,1,1,0,0,26
0,1,1,0,1,27
0,1,1,0,1,28
1,1,1,1,0,29
1,1,1,0,1,30
1,1,1,0,1,31
1,1,1,0,1,32
1,1,1,0,1,33
1,1,1,0,1,34
1,1,1,0,1,35
0,1,1,1,1,36
1,1,1,0,1,37
1,1,1,1,1,38
1,1,1,1,1,39
1,1,1,1,1,40
1,1,1,1,1,41
1,1,1,1,1,42
1,1,1,1,1,43
1,1,1,1,1,44
1,1,1,1,1,45
