學號,公-10-06,練2018-10-17-1,練2018-10-24-1,練2018-10-31-1,練2018-11-07-1
4105cce756,1,1,1,1,1
4106af5bde,1,0,1,1,1
4106bfb22c,0,1,1,1,0
410568738e,1,1,1,1,0
41056d3789,1,1,0,0,0
4104f355fa,1,1,1,1,1
410407076f,1,1,1,1,1
4104d2cbfe,0,1,1,1,1
41056eb3dc,0,1,1,1,1
41040c0dfa,1,1,1,0,1
4104d245c7,1,1,0,1,1
4105268758,1,1,1,1,1
41061d78cc,0,0,0,0,0
41073df627,0,0,0,0,0
4107b5677a,0,0,0,0,0
4107931872,0,0,0,0,0
4107cb7a72,0,0,0,0,0
4107f828fb,1,1,1,1,0
4107e51cf6,1,1,1,1,1
4107121e7a,0,0,0,0,0
410746b579,1,1,1,1,1
4107f07a39,1,1,1,1,1
4107953430,1,1,1,1,1
41073e5bea,1,1,1,1,1
410723db7a,1,1,0,0,0
4107e208b5,0,0,1,0,0
4107754b3a,1,0,0,0,0
4107d0f108,0,0,0,0,0
4107183f76,1,1,1,0,1
410757e2af,1,1,1,1,1
4107a4ca88,1,0,0,0,0
41075ed867,0,1,1,1,0
4107fb49b2,1,1,0,1,1
410792540c,1,1,1,1,1
41078013f4,1,1,1,1,1
4107d44b4e,0,0,0,0,0
4107ade6d0,1,1,1,1,1
41077bffa4,1,1,1,1,1
4107998201,0,0,0,0,0
4107c4633c,1,1,1,1,1
41077036cb,1,0,0,0,0
41071cb188,1,0,0,0,0
4107be2e7e,0,1,1,1,1
4107808b37,1,1,1,1,1
410770aade,1,1,1,1,1
4107fb88cd,0,1,0,0,1
410705762f,1,1,1,1,1
410741a5e9,0,1,1,1,1
4107b5513e,1,1,1,1,1
410750dbe4,1,0,0,0,0
4107294117,1,0,0,0,0
4107e4bd63,1,1,1,1,1
4107239472,0,1,0,1,0
4107396933,1,1,1,1,0
4107e8d6bb,0,0,1,1,1
4107051561,1,1,1,1,1
41077183b0,0,0,0,0,0
4107d8feb8,0,1,1,1,1
410714d4b7,1,1,1,1,1
41077b1b58,0,0,0,0,1
4107b64383,1,1,1,1,1
4107eb9d73,1,0,0,0,0
41078991c2,1,1,0,0,1
41071b2de4,1,0,0,0,0
4107028355,1,1,1,1,0
4107cfe9cb,0,0,0,0,0
4107f4c6e3,1,1,0,1,1
41071b20dc,0,1,0,1,0
4107efbcff,1,1,0,0,1
4107d6bde0,1,0,0,1,1
410772ee61,1,1,0,1,1
4107d1a4cb,1,1,1,1,1
4107cc2b0f,0,1,0,0,0
4106062ca2,1,1,1,1,1
4106e6f9a5,1,1,1,1,1
41061e49ce,1,1,1,1,1
4106af5e9a,1,1,1,1,1
